_id,cenmigID,Run,Sample_Name,BioProject,BioSample,Experiment,Organism,Serovar,isolation_source,Collection_date,Center_Name,geo_loc,geo_loc_name_country,geo_loc_name_country_continent,sub_region,Assay_Type,LibrarySource,LibrarySelection,LibraryLayout,Platform,Instrument,host_disease_stage,lat_lon,host,host_disease,asm_acc,AMR_genotypes,ftp_path
619b3cbf570f24c02dcae5f7,ERR053019,ERR053019,WBG8487-sc-2011-07-08T12:23:23Z-1198608SAMEA1021881,PRJEB2295,SAMEA1021881,ERX030067,Staphylococcus aureus,Not known,not known,1996,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae5f8,ERR053018,ERR053018,WBG8486-sc-2011-07-08T12:23:21Z-1198607SAMEA1021900,PRJEB2295,SAMEA1021900,ERX030066,Staphylococcus aureus,Not known,not known,1996,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae5f9,ERR053020,ERR053020,WBG8488-sc-2011-07-08T12:23:26Z-1198609SAMEA1021876,PRJEB2295,SAMEA1021876,ERX030068,Staphylococcus aureus,Not known,not known,1996,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae5fa,ERR053021,ERR053021,WBG8489-sc-2011-07-08T12:23:28Z-1198610SAMEA1021999,PRJEB2295,SAMEA1021999,ERX030069,Staphylococcus aureus,Not known,not known,1996,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae5fb,ERR053022,ERR053022,WBG8490-sc-2011-07-08T12:23:31Z-1198611SAMEA1022012,PRJEB2295,SAMEA1022012,ERX030070,Staphylococcus aureus,Not known,not known,1996,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae5fc,ERR053023,ERR053023,WBG8491-sc-2011-07-08T12:23:33Z-1198612SAMEA1021973,PRJEB2295,SAMEA1021973,ERX030071,Staphylococcus aureus,Not known,not known,1996,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae5fd,ERR053024,ERR053024,WBG8492-sc-2011-07-08T12:23:36Z-1198613SAMEA1021952,PRJEB2295,SAMEA1021952,ERX030072,Staphylococcus aureus,Not known,not known,1996,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae5fe,ERR053025,ERR053025,WBG8493-sc-2011-07-08T12:23:39Z-1198614SAMEA1021934,PRJEB2295,SAMEA1021934,ERX030073,Staphylococcus aureus,Not known,not known,1996,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae600,ERR053027,ERR053027,WBG8495-sc-2011-07-08T12:23:43Z-1198616SAMEA1021910,PRJEB2295,SAMEA1021910,ERX030075,Staphylococcus aureus,Not known,not known,1996,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae601,ERR053026,ERR053026,WBG8494-sc-2011-07-08T12:23:41Z-1198615SAMEA1021922,PRJEB2295,SAMEA1021922,ERX030074,Staphylococcus aureus,Not known,not known,1996,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae602,ERR053029,ERR053029,WBG8497-sc-2011-07-08T12:23:48Z-1198618SAMEA1021877,PRJEB2295,SAMEA1021877,ERX030077,Staphylococcus aureus,Not known,not known,1996,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae603,ERR053030,ERR053030,WBG8498-sc-2011-07-08T12:23:51Z-1198619SAMEA1021855,PRJEB2295,SAMEA1021855,ERX030078,Staphylococcus aureus,Not known,not known,1996,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae604,ERR053031,ERR053031,WBG9015-sc-2011-07-08T12:23:53Z-1198620SAMEA1021870,PRJEB2295,SAMEA1021870,ERX030079,Staphylococcus aureus,Not known,not known,1997,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae605,ERR053032,ERR053032,WBG9016-sc-2011-07-08T12:23:56Z-1198621SAMEA1021849,PRJEB2295,SAMEA1021849,ERX030080,Staphylococcus aureus,Not known,not known,1997,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae606,ERR053033,ERR053033,WBG9017-sc-2011-07-08T12:23:59Z-1198622SAMEA1021832,PRJEB2295,SAMEA1021832,ERX030081,Staphylococcus aureus,Not known,not known,1997,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae607,ERR053034,ERR053034,WBG9018-sc-2011-07-08T12:24:01Z-1198623SAMEA1021821,PRJEB2295,SAMEA1021821,ERX030082,Staphylococcus aureus,Not known,not known,1997,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae608,ERR053035,ERR053035,WBG9019-sc-2011-07-08T12:24:03Z-1198624SAMEA1021995,PRJEB2295,SAMEA1021995,ERX030083,Staphylococcus aureus,Not known,not known,1997,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae609,ERR053036,ERR053036,WBG9020-sc-2011-07-08T12:24:06Z-1198625SAMEA1021986,PRJEB2295,SAMEA1021986,ERX030084,Staphylococcus aureus,Not known,not known,1997,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae60a,ERR053037,ERR053037,WBG9022-sc-2011-07-08T12:24:08Z-1198626SAMEA1021970,PRJEB2295,SAMEA1021970,ERX030085,Staphylococcus aureus,Not known,not known,1997,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae60b,ERR053039,ERR053039,WBG9023__X2_-sc-2011-07-08T12:24:13Z-1198628SAMEA1022005,PRJEB2295,SAMEA1022005,ERX030087,Staphylococcus aureus,Not known,not known,1997,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae60c,ERR053038,ERR053038,WBG9023__X1_-sc-2011-07-08T12:24:11Z-1198627SAMEA1022014,PRJEB2295,SAMEA1022014,ERX030086,Staphylococcus aureus,Not known,not known,1997,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae60d,ERR053040,ERR053040,WBG9023__X3_-sc-2011-07-08T12:24:16Z-1198629SAMEA1021933,PRJEB2295,SAMEA1021933,ERX030088,Staphylococcus aureus,Not known,not known,1997,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae60e,ERR053041,ERR053041,WBG9024-sc-2011-07-08T12:24:18Z-1198630SAMEA1021914,PRJEB2295,SAMEA1021914,ERX030089,Staphylococcus aureus,Not known,not known,1997,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae60f,ERR053042,ERR053042,WBG9025-sc-2011-07-08T12:24:21Z-1198631SAMEA1021909,PRJEB2295,SAMEA1021909,ERX030090,Staphylococcus aureus,Not known,not known,1997,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae610,ERR053044,ERR053044,WBG9028-sc-2011-07-08T12:24:25Z-1198633SAMEA1021951,PRJEB2295,SAMEA1021951,ERX030092,Staphylococcus aureus,Not known,not known,1997,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae611,ERR053043,ERR053043,WBG9027-sc-2011-07-08T12:24:23Z-1198632SAMEA1021954,PRJEB2295,SAMEA1021954,ERX030091,Staphylococcus aureus,Not known,not known,1997,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae613,ERR053046,ERR053046,WBG9032-sc-2011-07-08T12:24:30Z-1198635SAMEA1021915,PRJEB2295,SAMEA1021915,ERX030094,Staphylococcus aureus,Not known,not known,1997,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,,,,,,,
619b3cbf570f24c02dcae63d,ERR064939,ERR064939,S85-sc-2011-08-22T12:13:48Z-1261187SAMEA1029529,PRJEB2489,SAMEA1029529,ERX042912,Staphylococcus aureus,,not knownStaphylococcus aureus,2007,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae63e,ERR064940,ERR064940,S130-sc-2011-08-22T12:13:49Z-1261188SAMEA1029516,PRJEB2489,SAMEA1029516,ERX042913,Staphylococcus aureus,,not knownStaphylococcus aureus,2007,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae63f,ERR064941,ERR064941,S87-sc-2011-08-22T12:13:49Z-1261189SAMEA1029512,PRJEB2489,SAMEA1029512,ERX042914,Staphylococcus aureus,,not knownStaphylococcus aureus,2007,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae640,ERR064942,ERR064942,S93-sc-2011-08-22T12:13:50Z-1261190SAMEA1029560,PRJEB2489,SAMEA1029560,ERX042915,Staphylococcus aureus,,not knownStaphylococcus aureus,2007,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae641,ERR064943,ERR064943,S71-sc-2011-08-22T12:13:51Z-1261191SAMEA1029541,PRJEB2489,SAMEA1029541,ERX042916,Staphylococcus aureus,,not knownStaphylococcus aureus,2007,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae642,ERR064944,ERR064944,S40-sc-2011-08-22T12:13:51Z-1261192SAMEA1029528,PRJEB2489,SAMEA1029528,ERX042917,Staphylococcus aureus,,not knownStaphylococcus aureus,2006,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae643,ERR064945,ERR064945,S102-sc-2011-08-22T12:13:52Z-1261193SAMEA1029519,PRJEB2489,SAMEA1029519,ERX042918,Staphylococcus aureus,,not knownStaphylococcus aureus,2007,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae644,ERR064946,ERR064946,S7-sc-2011-08-22T12:13:52Z-1261194SAMEA1029556,PRJEB2489,SAMEA1029556,ERX042919,Staphylococcus aureus,,not knownStaphylococcus aureus,2006,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae645,ERR064947,ERR064947,S38-sc-2011-08-22T12:13:53Z-1261195SAMEA1029568,PRJEB2489,SAMEA1029568,ERX042920,Staphylococcus aureus,,not knownStaphylococcus aureus,2006,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae647,ERR064949,ERR064949,S26-sc-2011-08-22T12:13:55Z-1261197SAMEA1029511,PRJEB2489,SAMEA1029511,ERX042922,Staphylococcus aureus,,not knownStaphylococcus aureus,2006,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae648,ERR064950,ERR064950,S97-sc-2011-08-22T12:13:55Z-1261198SAMEA1029522,PRJEB2489,SAMEA1029522,ERX042923,Staphylococcus aureus,,not knownStaphylococcus aureus,2007,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae649,ERR064951,ERR064951,S25-sc-2011-08-22T12:13:56Z-1261199SAMEA1029535,PRJEB2489,SAMEA1029535,ERX042924,Staphylococcus aureus,,not knownStaphylococcus aureus,2006,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae64a,ERR064952,ERR064952,S106-sc-2011-08-22T12:13:56Z-1261200SAMEA1029547,PRJEB2489,SAMEA1029547,ERX042925,Staphylococcus aureus,,not knownStaphylococcus aureus,2007,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae64b,ERR064953,ERR064953,S2-sc-2011-08-22T12:13:57Z-1261201SAMEA1029563,PRJEB2489,SAMEA1029563,ERX042926,Staphylococcus aureus,,not knownStaphylococcus aureus,2006,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae64c,ERR064954,ERR064954,S78-sc-2011-08-22T12:13:58Z-1261202SAMEA1029525,PRJEB2489,SAMEA1029525,ERX042927,Staphylococcus aureus,,not knownStaphylococcus aureus,2007,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae64d,ERR064955,ERR064955,S42-sc-2011-08-22T12:13:58Z-1261203SAMEA1029515,PRJEB2489,SAMEA1029515,ERX042928,Staphylococcus aureus,,not knownStaphylococcus aureus,2006,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae64e,ERR064956,ERR064956,S81-sc-2011-08-22T12:13:59Z-1261204SAMEA1029565,PRJEB2489,SAMEA1029565,ERX042929,Staphylococcus aureus,,not knownStaphylococcus aureus,2007,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae64f,ERR064957,ERR064957,S24-sc-2011-08-22T12:13:59Z-1261205SAMEA1029553,PRJEB2489,SAMEA1029553,ERX042930,Staphylococcus aureus,,not knownStaphylococcus aureus,2006,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae650,ERR064958,ERR064958,S21-sc-2011-08-22T12:14:00Z-1261206SAMEA1029536,PRJEB2489,SAMEA1029536,ERX042931,Staphylococcus aureus,,not knownStaphylococcus aureus,2006,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cbf570f24c02dcae651,ERR064959,ERR064959,S39-sc-2011-08-22T12:14:01Z-1261207SAMEA1029558,PRJEB2489,SAMEA1029558,ERX042932,Staphylococcus aureus,,not knownStaphylococcus aureus,2006,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,Staphylococcus aureus,,,,,,
619b3cc0570f24c02dcb5bc8,ERR024958,ERR024958,ERS010991SAMEA862613,PRJEB2173,SAMEA862613,ERX2006556,Staphylococcus aureus,,lung,2/15/2007,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina Genome Analyzer II,,,,,,,
619b3cc0570f24c02dcb5bcc,ERR024962,ERR024962,ERS010993SAMEA862611,PRJEB2173,SAMEA862611,ERX2006558,Staphylococcus aureus,,,1996,SC,Malaysia; Asia,Malaysia,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina Genome Analyzer II,,,,,,,
619b3cc0570f24c02dcb5bcd,ERR024963,ERR024963,ERS010994SAMEA862608,PRJEB2173,SAMEA862608,ERX2006559,Staphylococcus aureus,,lung,1996,SC,Malaysia; Asia,Malaysia,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina Genome Analyzer II,,,,,,,
619b3cc0570f24c02dcb5bce,ERR024964,ERR024964,ERS010995SAMEA862609,PRJEB2173,SAMEA862609,ERX2006560,Staphylococcus aureus,,,1996,SC,Malaysia; Asia,Malaysia,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina Genome Analyzer II,,,,,,,
619b3cc0570f24c02dcb5bd0,ERR024966,ERR024966,ERS010997SAMEA862607,PRJEB2173,SAMEA862607,ERX2006562,Staphylococcus aureus,,,1996,SC,Malaysia; Asia,Malaysia,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina Genome Analyzer II,,,,,,,
619b3cc0570f24c02dcb5bdf,ERR024984,ERR024984,ERS010977SAMEA862552,PRJEB2173,SAMEA862552,ERX2006802,Staphylococcus aureus,,wound,1996,SC,Malaysia; Asia,Malaysia,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina Genome Analyzer II,,,,,,,
619b3cc0570f24c02dcb5be1,ERR024985,ERR024985,ERS010978SAMEA862543,PRJEB2173,SAMEA862543,ERX2006803,Staphylococcus aureus,,wound,1996,SC,Malaysia; Asia,Malaysia,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina Genome Analyzer II,,,,,,,
619b3cc0570f24c02dcb5be4,ERR024988,ERR024988,ERS010970SAMEA862545,PRJEB2173,SAMEA862545,ERX2006795,Staphylococcus aureus,,,9/21/2004,SC,Viet Nam; Asia,Viet Nam,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina Genome Analyzer II,,,,,,,
619b3cc0570f24c02dcb5bf2,ERR025802,ERR025802,ERS010985SAMEA862584,PRJEB2173,SAMEA862584,ERX2005691,Staphylococcus aureus,,wound,1/17/2006,SC,Thailand; Asia,Thailand,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina Genome Analyzer II,,,,,,,
619b3cc0570f24c02dcb5c3d,ERR029342,ERR029342,DB001764_06-sc-2010-10-19-990746SAMEA800387,PRJEB2295,SAMEA800387,ERX2004061,Staphylococcus aureus,,not known,2006,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina Genome Analyzer II,,,,,,,
619b3cc0570f24c02dcb5c3e,ERR029343,ERR029343,B040014717-sc-2010-10-19-990755SAMEA800313,PRJEB2295,SAMEA800313,ERX2004070,Staphylococcus aureus,,not known,2004,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina Genome Analyzer II,,,,,,,
619b3cc0570f24c02dcb5c3f,ERR029344,ERR029344,DM000206_07-sc-2010-10-19-990756SAMEA800312,PRJEB2295,SAMEA800312,ERX2004071,Staphylococcus aureus,,not known,2007,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina Genome Analyzer II,,,,,,,
619b3cc0570f24c02dcb5c40,ERR029346,ERR029346,DM000703_06-sc-2010-10-19-990747SAMEA800388,PRJEB2295,SAMEA800388,ERX2004062,Staphylococcus aureus,,not known,2006,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina Genome Analyzer II,,,,,,,
619b3cc0570f24c02dcb5c41,ERR029345,ERR029345,DB013658_07-sc-2010-10-19-990757SAMEA800311,PRJEB2295,SAMEA800311,ERX2004072,Staphylococcus aureus,,not known,2007,SC,Singapore; Asia,Singapore,Asia,South-eastern Asia,WGS,GENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina Genome Analyzer II,,,,,,,
